Time stamp,"Reward Single base, no spawns",Reward Greedy agents - many spawns and conversions,"Reward Self play optimum 1 - single base, conservative start"
2020-04-24 11:41:11.436648,0.98,0.84,0.42
2020-04-24 11:43:33.369122,0.9,0.84,0.5
2020-04-24 11:45:47.909179,0.88,0.71,0.32
2020-04-24 11:47:59.138891,0.77,0.69,0.31
2020-04-24 11:50:30.186503,0.88,0.7,0.25
2020-04-24 11:53:09.240004,0.95,0.84,0.58
2020-04-24 11:55:35.389348,1.0,0.94,0.58
2020-04-24 11:58:01.997227,0.98,0.94,0.71
2020-04-24 12:00:53.365659,0.83,0.71,0.4
2020-04-24 12:03:18.522582,0.76,0.49,0.11
2020-04-24 12:05:36.856730,0.99,0.88,0.54
2020-04-24 12:07:41.559685,1.0,0.95,0.74
2020-04-24 12:09:51.318969,0.31,0.22,0.02
2020-04-24 12:11:51.554664,0.13,0.23,0.03
2020-04-24 12:14:02.304121,0.93,0.79,0.41
2020-04-24 12:16:17.889359,0.71,0.44,0.08
2020-04-24 12:18:28.437729,0.94,0.8,0.43
2020-04-24 12:20:37.594356,0.95,0.75,0.64
2020-04-24 12:22:41.329762,1.0,0.94,0.79
2020-04-24 12:24:52.960682,0.91,0.76,0.63
2020-04-24 12:26:55.595716,0.96,0.82,0.61
2020-04-24 12:29:16.013489,0.61,0.38,0.07
2020-04-24 12:31:22.413341,0.8,0.73,0.37
2020-04-24 12:33:26.553461,0.96,0.91,0.75
2020-04-24 12:35:28.189943,0.96,0.79,0.6
2020-04-24 12:37:30.723033,0.99,0.93,0.66
2020-04-24 12:39:38.648349,1.0,0.96,0.72
2020-04-24 12:41:52.842148,1.0,0.88,0.4
2020-04-24 12:44:00.618017,0.96,0.79,0.63
2020-04-24 12:46:11.122955,0.97,0.85,0.5
2020-04-24 12:48:25.717047,0.53,0.41,0.05
2020-04-24 12:50:40.262405,0.67,0.42,0.06
2020-04-24 12:52:50.506066,0.78,0.57,0.07
2020-04-24 12:55:14.782687,0.63,0.63,0.23
2020-04-24 12:57:25.109846,1.0,0.92,0.52
2020-04-24 12:59:40.569846,0.98,0.78,0.24
2020-04-24 13:01:51.313526,1.0,0.91,0.75
2020-04-24 13:04:03.460585,0.99,0.92,0.48
2020-04-24 13:06:02.755464,0.83,0.75,0.33
2020-04-24 13:08:11.434676,1.0,0.96,0.83
2020-04-24 13:10:32.008287,0.57,0.53,0.22
2020-04-24 13:12:45.779395,0.99,0.91,0.75
2020-04-24 13:14:59.479986,0.89,0.79,0.27
2020-04-24 13:17:05.962965,1.0,0.95,0.7
2020-04-24 13:19:17.646899,0.98,0.84,0.61
2020-04-24 13:21:35.945545,0.95,0.82,0.45
2020-04-24 13:23:44.641993,0.99,0.93,0.7
2020-04-24 13:26:01.433635,0.95,0.8,0.54
2020-04-24 13:28:13.690870,0.99,0.91,0.45
2020-04-24 13:30:23.324026,1.0,0.95,0.74
2020-04-24 13:32:28.282717,0.99,0.98,0.79
2020-04-24 13:34:36.489222,0.99,0.96,0.7
2020-04-24 13:36:42.608996,1.0,0.94,0.75
2020-04-24 13:38:54.355557,1.0,0.97,0.79
2020-04-24 13:41:00.817012,0.99,0.96,0.75
2020-04-24 13:43:08.234983,1.0,0.94,0.8
2020-04-24 13:45:19.357473,0.99,0.93,0.71
2020-04-24 13:47:26.150132,0.98,0.92,0.77
2020-04-24 13:49:35.366707,0.99,0.92,0.63
2020-04-24 13:51:44.032754,0.97,0.9,0.73
2020-04-24 13:53:55.443965,0.99,0.97,0.73
2020-04-24 13:56:02.801773,0.99,0.95,0.72
2020-04-24 13:58:14.711031,0.99,0.93,0.79
2020-04-24 14:00:24.284453,0.99,0.9,0.67
2020-04-24 14:02:41.317867,0.98,0.8,0.62
2020-04-24 14:04:55.964616,0.99,0.93,0.77
2020-04-24 14:07:11.076488,1.0,0.95,0.7
2020-04-24 14:09:21.707894,0.41,0.32,0.04
2020-04-24 14:11:36.790967,0.98,0.78,0.51
2020-04-24 14:13:50.969030,0.97,0.89,0.56
2020-04-24 14:16:02.988007,1.0,0.93,0.69
2020-04-24 14:18:18.678236,0.99,0.96,0.76
2020-04-24 14:20:33.714263,0.98,0.91,0.8
2020-04-24 14:22:46.167732,1.0,0.95,0.74
2020-04-24 14:24:54.536130,0.99,0.94,0.75
2020-04-24 14:27:04.920053,1.0,0.94,0.75
2020-04-24 14:29:14.985583,0.99,0.96,0.7
2020-04-24 14:31:25.590960,0.99,0.9,0.72
2020-04-24 14:33:38.124511,1.0,0.94,0.67
2020-04-24 14:35:53.130880,0.96,0.82,0.56
2020-04-24 14:38:10.477999,0.98,0.94,0.65
2020-04-24 14:40:25.139193,0.26,0.26,0.03
2020-04-24 14:42:33.037217,0.81,0.8,0.39
2020-04-24 14:44:50.393398,1.0,0.93,0.65
2020-04-24 14:47:11.344191,0.97,0.85,0.47
2020-04-24 14:49:25.960919,0.99,0.93,0.72
2020-04-24 14:51:33.834263,0.98,0.93,0.73
2020-04-24 14:53:40.848516,0.99,0.96,0.84
2020-04-24 14:56:01.803541,0.89,0.65,0.11
2020-04-24 14:58:15.562404,0.99,0.97,0.77
2020-04-24 15:00:32.006491,0.88,0.8,0.44
2020-04-24 15:02:53.228574,0.98,0.95,0.62
2020-04-24 15:05:10.757893,0.99,0.97,0.8
2020-04-24 15:07:25.162911,1.0,0.95,0.68
2020-04-24 15:09:40.494738,1.0,0.94,0.74
2020-04-24 15:12:08.357800,0.95,0.77,0.34
2020-04-24 15:14:25.524957,0.98,0.92,0.78
2020-04-24 15:16:42.151522,0.99,0.91,0.79
2020-04-24 15:18:55.832624,0.99,0.95,0.82
2020-04-24 15:21:16.443449,1.0,0.92,0.48
2020-04-24 15:23:31.584057,0.99,0.93,0.78
2020-04-24 15:25:43.702416,0.99,0.92,0.71
2020-04-24 15:27:59.330819,0.99,0.92,0.66
2020-04-24 15:30:14.931532,0.97,0.93,0.74
2020-04-24 15:32:27.698505,1.0,0.97,0.76
2020-04-24 15:34:42.989502,1.0,0.95,0.72
2020-04-24 15:37:04.086430,1.0,0.92,0.68
2020-04-24 15:39:15.009577,0.97,0.88,0.74
2020-04-24 15:41:31.743267,0.94,0.8,0.47
2020-04-24 15:43:42.932684,0.95,0.84,0.55
2020-04-24 15:45:53.952892,1.0,0.97,0.72
2020-04-24 15:48:04.431445,0.98,0.94,0.67
2020-04-24 15:50:24.165517,0.99,0.94,0.81
2020-04-24 15:52:44.665088,0.99,0.92,0.74
